customer_id,frequency,recency,T,monetary_value
37,2.0,71.0,125.0,180.6
229,1.0,19.0,43.0,117.6
325,2.0,10.0,115.0,75.73333333333333
338,2.0,51.0,124.0,135.06666666666666
342,0.0,0.0,94.0,47.8
415,1.0,12.0,108.0,53.575
482,7.0,78.0,119.0,105.64625000000001
500,0.0,0.0,75.0,95.4
532,1.0,8.0,37.0,136.275
590,7.0,70.0,111.0,64.76625
631,1.0,2.0,89.0,104.0
695,0.0,0.0,30.0,43.5
763,0.0,0.0,28.0,217.45
869,0.0,0.0,8.0,145.75
886,6.0,50.0,126.0,121.34285714285713
947,0.0,0.0,17.0,90.0
1022,13.0,87.0,119.0,152.22285714285712
1034,1.0,1.0,85.0,59.4
1105,3.0,32.0,122.0,146.3
1137,0.0,0.0,75.0,64.6
1294,0.0,0.0,27.0,96.4
1331,0.0,0.0,86.0,128.6
1333,1.0,51.0,103.0,235.8
1334,0.0,0.0,124.0,211.0
1343,0.0,0.0,113.0,284.0
1363,0.0,0.0,1.0,26.45
1448,0.0,0.0,83.0,44.91
1473,0.0,0.0,108.0,89.2
1474,0.0,0.0,108.0,27.2
1537,1.0,112.0,113.0,293.9
1561,1.0,9.0,41.0,47.325
1573,0.0,0.0,83.0,45.4
1595,1.0,7.0,10.0,48.9
1598,0.0,0.0,86.0,49.6
1674,2.0,2.0,131.0,205.0666666666667
1683,0.0,0.0,119.0,107.4
1875,5.0,70.0,124.0,128.46666666666667
1953,0.0,0.0,2.0,317.95
1955,1.0,6.0,92.0,180.0
1956,0.0,0.0,98.0,78.95
1970,0.0,0.0,88.0,225.2
1999,9.0,55.0,110.0,72.6
2023,0.0,0.0,115.0,56.2
2037,1.0,21.0,124.0,121.9
2129,1.0,18.0,82.0,164.25
2134,0.0,0.0,52.0,13.8
2189,0.0,0.0,31.0,60.85
2243,4.0,78.0,130.0,25.880000000000003
2246,1.0,1.0,105.0,42.599999999999994
2270,0.0,0.0,27.0,21.55
2284,0.0,0.0,101.0,172.4
2332,1.0,3.0,14.0,44.849999999999994
2413,1.0,1.0,49.0,145.85000000000002
2459,3.0,6.0,100.0,66.5
2483,0.0,0.0,104.0,240.6
2521,0.0,0.0,83.0,21.0
2636,2.0,6.0,86.0,136.86666666666665
2660,1.0,4.0,133.0,32.2
2866,1.0,14.0,90.0,45.5
2998,27.0,87.0,137.0,173.11285714285714
3066,0.0,0.0,107.0,50.4
3121,0.0,0.0,82.0,48.2
3143,0.0,0.0,108.0,104.2
3178,6.0,103.0,130.0,223.8857142857143
3227,1.0,34.0,56.0,137.1
3268,1.0,1.0,117.0,189.45
3278,2.0,29.0,133.0,47.79999999999999
3317,1.0,26.0,99.0,58.8
3369,0.0,0.0,87.0,14.0
3498,14.0,58.0,105.0,90.11333333333333
3502,0.0,0.0,25.0,77.85
3612,0.0,0.0,108.0,175.8
3632,0.0,0.0,46.0,38.0
3658,0.0,0.0,86.0,45.6
3660,0.0,0.0,42.0,15.1
3726,7.0,90.0,129.0,107.60000000000002
3775,0.0,0.0,102.0,160.8
3796,0.0,0.0,87.0,18.2
3873,1.0,1.0,77.0,15.899999999999999
3911,0.0,0.0,8.0,222.6
3927,0.0,0.0,82.0,128.4
3940,16.0,49.0,90.0,163.02352941176468
3949,0.0,0.0,87.0,165.0
3950,3.0,36.0,130.0,100.4
3974,1.0,1.0,99.0,60.815000000000005
4100,1.0,19.0,116.0,41.01
4136,0.0,0.0,87.0,13.4
4157,1.0,1.0,42.0,21.0
4216,1.0,1.0,106.0,38.5
4234,0.0,0.0,76.0,76.2
4299,0.0,0.0,18.0,31.35
4302,0.0,0.0,95.0,99.0
4334,7.0,61.0,112.0,146.98250000000002
